evol,step,not_dead,tot
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
1,51,0,0
1,52,0,0
1,53,0,0
1,54,0,0
1,55,0,0
1,56,0,0
1,57,0,0
1,58,0,0
1,59,0,0
1,60,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
2,13,0,0
2,14,0,0
2,15,0,0
2,16,0,0
2,17,0,0
2,18,0,0
2,19,0,0
2,20,0,0
2,21,0,0
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
2,32,0,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
2,51,0,0
2,52,0,0
2,53,0,0
2,54,0,0
2,55,0,0
2,56,0,0
2,57,0,0
2,58,0,0
2,59,0,0
2,60,0,0
3,1,1,2
3,2,1,2
3,3,1,2
3,4,2,4
3,5,3,6
3,6,6,12
3,7,9,18
3,8,14,28
3,9,23,46
3,10,35,70
3,11,51,102
3,12,84,168
3,13,119,238
3,14,194,388
3,15,313,626
3,16,502,1004
3,17,806,1612
3,18,1316,2632
3,19,2114,4228
3,20,3378,6756
3,21,5468,10936
3,22,8782,17564
3,23,14011,28022
3,24,22404,44808
3,25,35893,71786
3,26,57590,115180
3,27,91930,183860
3,28,147151,294302
3,29,235483,470966
3,30,376811,753622
3,31,603254,1206508
3,32,964556,1929112
3,33,1543392,3086784
3,34,2469725,4939450
3,35,3952452,7904904
3,36,6324824,12649648
3,37,10117600,20235200
3,38,16185745,32371490
3,39,25898042,51796084
3,40,41435483,82870966
3,41,66298306,132596612
3,42,106068364,212136728
3,43,169717782,339435564
3,44,271549652,543099304
3,45,543099304,1000000000
3,46,543099304,1000000000
3,47,543099304,1000000000
3,48,543099304,1000000000
3,49,543099304,1000000000
3,50,543099304,1000000000
3,51,543099304,1000000000
3,52,543099304,1000000000
3,53,543099304,1000000000
3,54,543099304,1000000000
3,55,543099304,1000000000
3,56,543099304,1000000000
3,57,543099304,1000000000
3,58,543099304,1000000000
3,59,543099304,1000000000
3,60,543099304,1000000000
4,1,1,2
4,2,2,4
4,3,3,6
4,4,6,12
4,5,11,22
4,6,18,36
4,7,25,50
4,8,35,70
4,9,54,108
4,10,84,168
4,11,137,274
4,12,214,428
4,13,348,696
4,14,553,1106
4,15,877,1754
4,16,1417,2834
4,17,2270,4540
4,18,3624,7248
4,19,5813,11626
4,20,9290,18580
4,21,14882,29764
4,22,23788,47576
4,23,38196,76392
4,24,61056,122112
4,25,97499,194998
4,26,155951,311902
4,27,249415,498830
4,28,399372,798744
4,29,638527,1277054
4,30,1021121,2042242
4,31,1633442,3266884
4,32,2613559,5227118
4,33,4180585,8361170
4,34,6688764,13377528
4,35,10700646,21401292
4,36,17122317,34244634
4,37,27394885,54789770
4,38,43830288,87660576
4,39,70129375,140258750
4,40,112212472,224424944
4,41,179539410,359078820
4,42,287262349,574524698
4,43,574524698,1000000000
4,44,574524698,1000000000
4,45,574524698,1000000000
4,46,574524698,1000000000
4,47,574524698,1000000000
4,48,574524698,1000000000
4,49,574524698,1000000000
4,50,574524698,1000000000
4,51,574524698,1000000000
4,52,574524698,1000000000
4,53,574524698,1000000000
4,54,574524698,1000000000
4,55,574524698,1000000000
4,56,574524698,1000000000
4,57,574524698,1000000000
4,58,574524698,1000000000
4,59,574524698,1000000000
4,60,574524698,1000000000
5,1,1,2
5,2,2,4
5,3,3,6
5,4,4,8
5,5,5,10
5,6,8,16
5,7,11,22
5,8,18,36
5,9,31,62
5,10,50,100
5,11,72,144
5,12,115,230
5,13,181,362
5,14,282,564
5,15,453,906
5,16,712,1424
5,17,1142,2284
5,18,1807,3614
5,19,2902,5804
5,20,4669,9338
5,21,7452,14904
5,22,11943,23886
5,23,19068,38136
5,24,30444,60888
5,25,48871,97742
5,26,78109,156218
5,27,125137,250274
5,28,200271,400542
5,29,320298,640596
5,30,512434,1024868
5,31,820142,1640284
5,32,1311943,2623886
5,33,2099355,4198710
5,34,3360351,6720702
5,35,5377457,10754914
5,36,8603537,17207074
5,37,13762666,27525332
5,38,22022724,44045448
5,39,35233292,70466584
5,40,56372354,112744708
5,41,90201405,180402810
5,42,144316774,288633548
5,43,230902640,461805280
5,44,369443869,738887738
5,45,738887738,1000000000
5,46,738887738,1000000000
5,47,738887738,1000000000
5,48,738887738,1000000000
5,49,738887738,1000000000
5,50,738887738,1000000000
5,51,738887738,1000000000
5,52,738887738,1000000000
5,53,738887738,1000000000
5,54,738887738,1000000000
5,55,738887738,1000000000
5,56,738887738,1000000000
5,57,738887738,1000000000
5,58,738887738,1000000000
5,59,738887738,1000000000
5,60,738887738,1000000000
6,1,1,2
6,2,2,4
6,3,3,6
6,4,6,12
6,5,11,22
6,6,13,26
6,7,22,44
6,8,38,76
6,9,61,122
6,10,106,212
6,11,163,326
6,12,258,516
6,13,405,810
6,14,644,1288
6,15,1023,2046
6,16,1646,3292
6,17,2616,5232
6,18,4178,8356
6,19,6749,13498
6,20,10742,21484
6,21,17269,34538
6,22,27672,55344
6,23,44240,88480
6,24,70808,141616
6,25,113354,226708
6,26,181519,363038
6,27,290322,580644
6,28,464071,928142
6,29,742671,1485342
6,30,1187833,2375666
6,31,1900007,3800014
6,32,3040717,6081434
6,33,4864174,9728348
6,34,7782645,15565290
6,35,12448890,24897780
6,36,19918197,39836394
6,37,31869488,63738976
6,38,50987652,101975304
6,39,81580635,163161270
6,40,130526909,261053818
6,41,208841793,417683586
6,42,334157810,668315620
6,43,668315620,1000000000
6,44,668315620,1000000000
6,45,668315620,1000000000
6,46,668315620,1000000000
6,47,668315620,1000000000
6,48,668315620,1000000000
6,49,668315620,1000000000
6,50,668315620,1000000000
6,51,668315620,1000000000
6,52,668315620,1000000000
6,53,668315620,1000000000
6,54,668315620,1000000000
6,55,668315620,1000000000
6,56,668315620,1000000000
6,57,668315620,1000000000
6,58,668315620,1000000000
6,59,668315620,1000000000
6,60,668315620,1000000000
7,1,1,2
7,2,2,4
7,3,3,6
7,4,3,6
7,5,5,10
7,6,9,18
7,7,17,34
7,8,28,56
7,9,43,86
7,10,73,146
7,11,114,228
7,12,181,362
7,13,282,564
7,14,454,908
7,15,719,1438
7,16,1107,2214
7,17,1800,3600
7,18,2876,5752
7,19,4627,9254
7,20,7428,14856
7,21,11877,23754
7,22,18997,37994
7,23,30450,60900
7,24,48898,97796
7,25,78165,156330
7,26,124931,249862
7,27,199659,399318
7,28,319008,638016
7,29,510453,1020906
7,30,816756,1633512
7,31,1307190,2614380
7,32,2092029,4184058
7,33,3347677,6695354
7,34,5355908,10711816
7,35,8568665,17137330
7,36,13712838,27425676
7,37,21942344,43884688
7,38,35106584,70213168
7,39,56170615,112341230
7,40,89868578,179737156
7,41,143793831,287587662
7,42,230072685,460145370
7,43,368107533,736215066
7,44,736215066,1000000000
7,45,736215066,1000000000
7,46,736215066,1000000000
7,47,736215066,1000000000
7,48,736215066,1000000000
7,49,736215066,1000000000
7,50,736215066,1000000000
7,51,736215066,1000000000
7,52,736215066,1000000000
7,53,736215066,1000000000
7,54,736215066,1000000000
7,55,736215066,1000000000
7,56,736215066,1000000000
7,57,736215066,1000000000
7,58,736215066,1000000000
7,59,736215066,1000000000
7,60,736215066,1000000000
8,1,1,2
8,2,2,4
8,3,3,6
8,4,4,8
8,5,5,10
8,6,8,16
8,7,15,30
8,8,22,44
8,9,39,78
8,10,67,134
8,11,106,212
8,12,165,330
8,13,265,530
8,14,414,828
8,15,656,1312
8,16,1050,2100
8,17,1700,3400
8,18,2732,5464
8,19,4370,8740
8,20,6954,13908
8,21,11083,22166
8,22,17725,35450
8,23,28173,56346
8,24,45094,90188
8,25,72030,144060
8,26,115560,231120
8,27,184818,369636
8,28,295707,591414
8,29,473215,946430
8,30,757774,1515548
8,31,1211776,2423552
8,32,1938219,3876438
8,33,3102133,6204266
8,34,4963415,9926830
8,35,7940492,15880984
8,36,12705004,25410008
8,37,20328512,40657024
8,38,32526881,65053762
8,39,52041812,104083624
8,40,83274762,166549524
8,41,133235465,266470930
8,42,213170058,426340116
8,43,341081637,682163274
8,44,682163274,1000000000
8,45,682163274,1000000000
8,46,682163274,1000000000
8,47,682163274,1000000000
8,48,682163274,1000000000
8,49,682163274,1000000000
8,50,682163274,1000000000
8,51,682163274,1000000000
8,52,682163274,1000000000
8,53,682163274,1000000000
8,54,682163274,1000000000
8,55,682163274,1000000000
8,56,682163274,1000000000
8,57,682163274,1000000000
8,58,682163274,1000000000
8,59,682163274,1000000000
8,60,682163274,1000000000
9,1,1,2
9,2,2,4
9,3,3,6
9,4,3,6
9,5,5,10
9,6,9,18
9,7,14,28
9,8,21,42
9,9,33,66
9,10,55,110
9,11,90,180
9,12,145,290
9,13,235,470
9,14,374,748
9,15,615,1230
9,16,997,1994
9,17,1587,3174
9,18,2550,5100
9,19,4095,8190
9,20,6565,13130
9,21,10573,21146
9,22,16942,33884
9,23,26978,53956
9,24,43280,86560
9,25,69118,138236
9,26,110380,220760
9,27,176751,353502
9,28,282475,564950
9,29,452106,904212
9,30,723283,1446566
9,31,1156832,2313664
9,32,1850787,3701574
9,33,2961938,5923876
9,34,4739343,9478686
9,35,7583317,15166634
9,36,12134076,24268152
9,37,19413589,38827178
9,38,31061692,62123384
9,39,49701295,99402590
9,40,79523938,159047876
9,41,127238778,254477556
9,42,203574318,407148636
9,43,325704365,651408730
9,44,651408730,1000000000
9,45,651408730,1000000000
9,46,651408730,1000000000
9,47,651408730,1000000000
9,48,651408730,1000000000
9,49,651408730,1000000000
9,50,651408730,1000000000
9,51,651408730,1000000000
9,52,651408730,1000000000
9,53,651408730,1000000000
9,54,651408730,1000000000
9,55,651408730,1000000000
9,56,651408730,1000000000
9,57,651408730,1000000000
9,58,651408730,1000000000
9,59,651408730,1000000000
9,60,651408730,1000000000
10,1,1,2
10,2,2,4
10,3,3,6
10,4,4,8
10,5,7,14
10,6,12,24
10,7,21,42
10,8,36,72
10,9,60,120
10,10,95,190
10,11,148,296
10,12,234,468
10,13,381,762
10,14,600,1200
10,15,977,1954
10,16,1580,3160
10,17,2490,4980
10,18,4044,8088
10,19,6438,12876
10,20,10258,20516
10,21,16454,32908
10,22,26382,52764
10,23,42121,84242
10,24,67470,134940
10,25,108040,216080
10,26,172900,345800
10,27,277020,554040
10,28,442955,885910
10,29,708765,1417530
10,30,1133957,2267914
10,31,1814326,3628652
10,32,2902558,5805116
10,33,4642036,9284072
10,34,7428115,14856230
10,35,11886887,23773774
10,36,19018518,38037036
10,37,30433491,60866982
10,38,48694557,97389114
10,39,77907818,155815636
10,40,124654284,249308568
10,41,199440397,398880794
10,42,319101460,638202920
10,43,638202920,1000000000
10,44,638202920,1000000000
10,45,638202920,1000000000
10,46,638202920,1000000000
10,47,638202920,1000000000
10,48,638202920,1000000000
10,49,638202920,1000000000
10,50,638202920,1000000000
10,51,638202920,1000000000
10,52,638202920,1000000000
10,53,638202920,1000000000
10,54,638202920,1000000000
10,55,638202920,1000000000
10,56,638202920,1000000000
10,57,638202920,1000000000
10,58,638202920,1000000000
10,59,638202920,1000000000
10,60,638202920,1000000000
11,1,1,2
11,2,2,4
11,3,4,8
11,4,7,14
11,5,11,22
11,6,15,30
11,7,21,42
11,8,34,68
11,9,52,104
11,10,80,160
11,11,123,246
11,12,191,382
11,13,307,614
11,14,505,1010
11,15,801,1602
11,16,1279,2558
11,17,2039,4078
11,18,3240,6480
11,19,5251,10502
11,20,8346,16692
11,21,13321,26642
11,22,21277,42554
11,23,34003,68006
11,24,54293,108586
11,25,86796,173592
11,26,138974,277948
11,27,222309,444618
11,28,355818,711636
11,29,569874,1139748
11,30,911057,1822114
11,31,1458489,2916978
11,32,2333606,4667212
11,33,3733546,7467092
11,34,5972961,11945922
11,35,9557499,19114998
11,36,15293774,30587548
11,37,24474427,48948854
11,38,39156095,78312190
11,39,62654443,125308886
11,40,100248313,200496626
11,41,160391748,320783496
11,42,256638908,513277816
11,43,513277816,1000000000
11,44,513277816,1000000000
11,45,513277816,1000000000
11,46,513277816,1000000000
11,47,513277816,1000000000
11,48,513277816,1000000000
11,49,513277816,1000000000
11,50,513277816,1000000000
11,51,513277816,1000000000
11,52,513277816,1000000000
11,53,513277816,1000000000
11,54,513277816,1000000000
11,55,513277816,1000000000
11,56,513277816,1000000000
11,57,513277816,1000000000
11,58,513277816,1000000000
11,59,513277816,1000000000
11,60,513277816,1000000000
12,1,1,2
12,2,1,2
12,3,2,4
12,4,3,6
12,5,5,10
12,6,8,16
12,7,14,28
12,8,20,40
12,9,35,70
12,10,51,102
12,11,76,152
12,12,122,244
12,13,203,406
12,14,314,628
12,15,503,1006
12,16,821,1642
12,17,1310,2620
12,18,2058,4116
12,19,3319,6638
12,20,5332,10664
12,21,8492,16984
12,22,13687,27374
12,23,21859,43718
12,24,34933,69866
12,25,55914,111828
12,26,89562,179124
12,27,143238,286476
12,28,229333,458666
12,29,366468,732936
12,30,586701,1173402
12,31,938176,1876352
12,32,1501065,3002130
12,33,2402359,4804718
12,34,3843918,7687836
12,35,6150401,12300802
12,36,9838030,19676060
12,37,15741588,31483176
12,38,25188318,50376636
12,39,40300147,80600294
12,40,64483642,128967284
