evol,step,not_dead,tot
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
1,51,0,0
1,52,0,0
1,53,0,0
1,54,0,0
1,55,0,0
1,56,0,0
1,57,0,0
1,58,0,0
1,59,0,0
1,60,0,0
1,61,0,0
1,62,0,0
1,63,0,0
1,64,0,0
1,65,0,0
1,66,0,0
1,67,0,0
1,68,0,0
1,69,0,0
1,70,0,0
1,71,0,0
1,72,0,0
1,73,0,0
1,74,0,0
1,75,0,0
1,76,0,0
1,77,0,0
1,78,0,0
1,79,0,0
1,80,0,0
1,81,0,0
1,82,0,0
1,83,0,0
1,84,0,0
1,85,0,0
1,86,0,0
1,87,0,0
1,88,0,0
1,89,0,0
1,90,0,0
1,91,0,0
1,92,0,0
1,93,0,0
1,94,0,0
1,95,0,0
1,96,0,0
1,97,0,0
1,98,0,0
1,99,0,0
1,100,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
2,13,0,0
2,14,0,0
2,15,0,0
2,16,0,0
2,17,0,0
2,18,0,0
2,19,0,0
2,20,0,0
2,21,0,0
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
2,32,0,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
2,51,0,0
2,52,0,0
2,53,0,0
2,54,0,0
2,55,0,0
2,56,0,0
2,57,0,0
2,58,0,0
2,59,0,0
2,60,0,0
2,61,0,0
2,62,0,0
2,63,0,0
2,64,0,0
2,65,0,0
2,66,0,0
2,67,0,0
2,68,0,0
2,69,0,0
2,70,0,0
2,71,0,0
2,72,0,0
2,73,0,0
2,74,0,0
2,75,0,0
2,76,0,0
2,77,0,0
2,78,0,0
2,79,0,0
2,80,0,0
2,81,0,0
2,82,0,0
2,83,0,0
2,84,0,0
2,85,0,0
2,86,0,0
2,87,0,0
2,88,0,0
2,89,0,0
2,90,0,0
2,91,0,0
2,92,0,0
2,93,0,0
2,94,0,0
2,95,0,0
2,96,0,0
2,97,0,0
2,98,0,0
2,99,0,0
2,100,0,0
3,1,1,2
3,2,1,2
3,3,1,2
3,4,2,4
3,5,3,6
3,6,6,12
3,7,9,18
3,8,14,28
3,9,23,46
3,10,35,70
3,11,51,102
3,12,84,168
3,13,119,238
3,14,194,388
3,15,313,626
3,16,502,1004
3,17,806,1612
3,18,1316,2632
3,19,2114,4228
3,20,3378,6756
3,21,5468,10936
3,22,8782,17564
3,23,14011,28022
3,24,22404,44808
3,25,35893,71786
3,26,57590,115180
3,27,91930,183860
3,28,147151,294302
3,29,235483,470966
3,30,376811,753622
3,31,603254,1206508
3,32,964556,1929112
3,33,1543392,3086784
3,34,2469725,4939450
3,35,3952452,7904904
3,36,6324824,12649648
3,37,10117600,20235200
3,38,16185745,32371490
3,39,25898042,51796084
3,40,41435483,82870966
3,41,66298306,132596612
3,42,106068364,212136728
3,43,169717782,339435564
3,44,271549652,543099304
3,45,543099304,1000000000
3,46,543099304,1000000000
3,47,543099304,1000000000
3,48,543099304,1000000000
3,49,543099304,1000000000
3,50,543099304,1000000000
3,51,543099304,1000000000
3,52,543099304,1000000000
3,53,543099304,1000000000
3,54,543099304,1000000000
3,55,543099304,1000000000
3,56,543099304,1000000000
3,57,543099304,1000000000
3,58,543099304,1000000000
3,59,543099304,1000000000
3,60,543099304,1000000000
3,61,543099304,1000000000
3,62,543099304,1000000000
3,63,543099304,1000000000
3,64,543099304,1000000000
3,65,543099304,1000000000
3,66,543099304,1000000000
3,67,543099304,1000000000
3,68,543099304,1000000000
3,69,543099304,1000000000
3,70,543099304,1000000000
3,71,543099304,1000000000
3,72,543099304,1000000000
3,73,543099304,1000000000
3,74,543099304,1000000000
3,75,543099304,1000000000
3,76,543099304,1000000000
3,77,543099304,1000000000
3,78,543099304,1000000000
3,79,543099304,1000000000
3,80,543099304,1000000000
3,81,543099304,1000000000
3,82,543099304,1000000000
3,83,543099304,1000000000
3,84,543099304,1000000000
3,85,543099304,1000000000
3,86,543099304,1000000000
3,87,543099304,1000000000
3,88,543099304,1000000000
3,89,543099304,1000000000
3,90,543099304,1000000000
3,91,543099304,1000000000
3,92,543099304,1000000000
3,93,543099304,1000000000
3,94,543099304,1000000000
3,95,543099304,1000000000
3,96,543099304,1000000000
3,97,543099304,1000000000
3,98,543099304,1000000000
3,99,543099304,1000000000
3,100,543099304,1000000000
4,1,1,2
4,2,2,4
4,3,3,6
4,4,6,12
4,5,11,22
4,6,18,36
4,7,25,50
4,8,35,70
4,9,54,108
4,10,84,168
4,11,137,274
4,12,214,428
4,13,348,696
4,14,553,1106
4,15,877,1754
4,16,1417,2834
4,17,2270,4540
4,18,3624,7248
4,19,5813,11626
4,20,9290,18580
4,21,14882,29764
4,22,23788,47576
4,23,38196,76392
4,24,61056,122112
4,25,97499,194998
4,26,155951,311902
4,27,249415,498830
4,28,399372,798744
4,29,638527,1277054
4,30,1021121,2042242
4,31,1633442,3266884
4,32,2613559,5227118
4,33,4180585,8361170
4,34,6688764,13377528
4,35,10700646,21401292
4,36,17122317,34244634
4,37,27394885,54789770
4,38,43830288,87660576
4,39,70129375,140258750
4,40,112212472,224424944
4,41,179539410,359078820
4,42,287262349,574524698
4,43,574524698,1000000000
4,44,574524698,1000000000
4,45,574524698,1000000000
4,46,574524698,1000000000
4,47,574524698,1000000000
4,48,574524698,1000000000
4,49,574524698,1000000000
4,50,574524698,1000000000
4,51,574524698,1000000000
4,52,574524698,1000000000
4,53,574524698,1000000000
4,54,574524698,1000000000
4,55,574524698,1000000000
4,56,574524698,1000000000
4,57,574524698,1000000000
4,58,574524698,1000000000
4,59,574524698,1000000000
4,60,574524698,1000000000
4,61,574524698,1000000000
4,62,574524698,1000000000
4,63,574524698,1000000000
4,64,574524698,1000000000
4,65,574524698,1000000000
4,66,574524698,1000000000
4,67,574524698,1000000000
4,68,574524698,1000000000
4,69,574524698,1000000000
4,70,574524698,1000000000
4,71,574524698,1000000000
4,72,574524698,1000000000
4,73,574524698,1000000000
4,74,574524698,1000000000
4,75,574524698,1000000000
4,76,574524698,1000000000
4,77,574524698,1000000000
4,78,574524698,1000000000
4,79,574524698,1000000000
4,80,574524698,1000000000
4,81,574524698,1000000000
4,82,574524698,1000000000
4,83,574524698,1000000000
4,84,574524698,1000000000
4,85,574524698,1000000000
4,86,574524698,1000000000
4,87,574524698,1000000000
4,88,574524698,1000000000
4,89,574524698,1000000000
4,90,574524698,1000000000
4,91,574524698,1000000000
4,92,574524698,1000000000
4,93,574524698,1000000000
4,94,574524698,1000000000
4,95,574524698,1000000000
4,96,574524698,1000000000
4,97,574524698,1000000000
4,98,574524698,1000000000
4,99,574524698,1000000000
4,100,574524698,1000000000
5,1,1,2
5,2,2,4
5,3,3,6
5,4,4,8
5,5,5,10
5,6,8,16
5,7,11,22
5,8,18,36
5,9,31,62
5,10,50,100
5,11,72,144
5,12,115,230
5,13,181,362
5,14,282,564
5,15,453,906
5,16,712,1424
5,17,1142,2284
5,18,1807,3614
5,19,2902,5804
5,20,4669,9338
5,21,7452,14904
5,22,11943,23886
5,23,19068,38136
5,24,30444,60888
5,25,48871,97742
5,26,78109,156218
5,27,125137,250274
5,28,200271,400542
5,29,320298,640596
5,30,512434,1024868
5,31,820142,1640284
5,32,1311943,2623886
5,33,2099355,4198710
5,34,3360351,6720702
5,35,5377457,10754914
5,36,8603537,17207074
5,37,13762666,27525332
5,38,22022724,44045448
5,39,35233292,70466584
5,40,56372354,112744708
5,41,90201405,180402810
5,42,144316774,288633548
5,43,230902640,461805280
5,44,369443869,738887738
5,45,738887738,1000000000
5,46,738887738,1000000000
5,47,738887738,1000000000
5,48,738887738,1000000000
5,49,738887738,1000000000
5,50,738887738,1000000000
5,51,738887738,1000000000
5,52,738887738,1000000000
5,53,738887738,1000000000
5,54,738887738,1000000000
5,55,738887738,1000000000
5,56,738887738,1000000000
5,57,738887738,1000000000
5,58,738887738,1000000000
5,59,738887738,1000000000
5,60,738887738,1000000000
5,61,738887738,1000000000
5,62,738887738,1000000000
5,63,738887738,1000000000
5,64,738887738,1000000000
5,65,738887738,1000000000
5,66,738887738,1000000000
5,67,738887738,1000000000
5,68,738887738,1000000000
5,69,738887738,1000000000
5,70,738887738,1000000000
5,71,738887738,1000000000
5,72,738887738,1000000000
5,73,738887738,1000000000
5,74,738887738,1000000000
5,75,738887738,1000000000
5,76,738887738,1000000000
5,77,738887738,1000000000
5,78,738887738,1000000000
5,79,738887738,1000000000
5,80,738887738,1000000000
5,81,738887738,1000000000
5,82,738887738,1000000000
5,83,738887738,1000000000
5,84,738887738,1000000000
5,85,738887738,1000000000
5,86,738887738,1000000000
5,87,738887738,1000000000
5,88,738887738,1000000000
5,89,738887738,1000000000
5,90,738887738,1000000000
5,91,738887738,1000000000
5,92,738887738,1000000000
5,93,738887738,1000000000
5,94,738887738,1000000000
5,95,738887738,1000000000
5,96,738887738,1000000000
5,97,738887738,1000000000
5,98,738887738,1000000000
5,99,738887738,1000000000
5,100,738887738,1000000000
6,1,1,2
6,2,2,4
6,3,3,6
6,4,6,12
6,5,11,22
6,6,13,26
6,7,22,44
6,8,38,76
6,9,61,122
6,10,106,212
6,11,163,326
6,12,258,516
6,13,405,810
6,14,644,1288
6,15,1023,2046
6,16,1646,3292
6,17,2616,5232
6,18,4178,8356
6,19,6749,13498
6,20,10742,21484
6,21,17269,34538
6,22,27672,55344
6,23,44240,88480
6,24,70808,141616
6,25,113354,226708
6,26,181519,363038
6,27,290322,580644
6,28,464071,928142
6,29,742671,1485342
6,30,1187833,2375666
6,31,1900007,3800014
6,32,3040717,6081434
6,33,4864174,9728348
6,34,7782645,15565290
6,35,12448890,24897780
6,36,19918197,39836394
6,37,31869488,63738976
6,38,50987652,101975304
6,39,81580635,163161270
6,40,130526909,261053818
6,41,208841793,417683586
6,42,334157810,668315620
6,43,668315620,1000000000
6,44,668315620,1000000000
6,45,668315620,1000000000
6,46,668315620,1000000000
6,47,668315620,1000000000
6,48,668315620,1000000000
6,49,668315620,1000000000
6,50,668315620,1000000000
6,51,668315620,1000000000
6,52,668315620,1000000000
6,53,668315620,1000000000
6,54,668315620,1000000000
6,55,668315620,1000000000
6,56,668315620,1000000000
6,57,668315620,1000000000
6,58,668315620,1000000000
6,59,668315620,1000000000
6,60,668315620,1000000000
6,61,668315620,1000000000
6,62,668315620,1000000000
6,63,668315620,1000000000
6,64,668315620,1000000000
6,65,668315620,1000000000
6,66,668315620,1000000000
6,67,668315620,1000000000
6,68,668315620,1000000000
6,69,668315620,1000000000
6,70,668315620,1000000000
6,71,668315620,1000000000
6,72,668315620,1000000000
6,73,668315620,1000000000
6,74,668315620,1000000000
6,75,668315620,1000000000
6,76,668315620,1000000000
6,77,668315620,1000000000
6,78,668315620,1000000000
6,79,668315620,1000000000
6,80,668315620,1000000000
6,81,668315620,1000000000
6,82,668315620,1000000000
6,83,668315620,1000000000
6,84,668315620,1000000000
6,85,668315620,1000000000
6,86,668315620,1000000000
6,87,668315620,1000000000
6,88,668315620,1000000000
6,89,668315620,1000000000
6,90,668315620,1000000000
6,91,668315620,1000000000
6,92,668315620,1000000000
6,93,668315620,1000000000
6,94,668315620,1000000000
6,95,668315620,1000000000
6,96,668315620,1000000000
6,97,668315620,1000000000
6,98,668315620,1000000000
6,99,668315620,1000000000
6,100,668315620,1000000000
7,1,1,2
7,2,2,4
7,3,3,6
7,4,3,6
7,5,5,10
7,6,9,18
7,7,17,34
7,8,28,56
7,9,43,86
7,10,73,146
7,11,114,228
7,12,181,362
7,13,282,564
7,14,454,908
7,15,719,1438
7,16,1107,2214
7,17,1800,3600
7,18,2876,5752
7,19,4627,9254
7,20,7428,14856
7,21,11877,23754
7,22,18997,37994
7,23,30450,60900
7,24,48898,97796
7,25,78165,156330
7,26,124931,249862
7,27,199659,399318
7,28,319008,638016
7,29,510453,1020906
7,30,816756,1633512
7,31,1307190,2614380
7,32,2092029,4184058
7,33,3347677,6695354
7,34,5355908,10711816
7,35,8568665,17137330
7,36,13712838,27425676
7,37,21942344,43884688
7,38,35106584,70213168
7,39,56170615,112341230
7,40,89868578,179737156
7,41,143793831,287587662
7,42,230072685,460145370
7,43,368107533,736215066
7,44,736215066,1000000000
7,45,736215066,1000000000
7,46,736215066,1000000000
7,47,736215066,1000000000
7,48,736215066,1000000000
7,49,736215066,1000000000
7,50,736215066,1000000000
7,51,736215066,1000000000
7,52,736215066,1000000000
7,53,736215066,1000000000
7,54,736215066,1000000000
7,55,736215066,1000000000
7,56,736215066,1000000000
7,57,736215066,1000000000
7,58,736215066,1000000000
7,59,736215066,1000000000
7,60,736215066,1000000000
7,61,736215066,1000000000
7,62,736215066,1000000000
7,63,736215066,1000000000
7,64,736215066,1000000000
7,65,736215066,1000000000
7,66,736215066,1000000000
7,67,736215066,1000000000
7,68,736215066,1000000000
7,69,736215066,1000000000
7,70,736215066,1000000000
7,71,736215066,1000000000
7,72,736215066,1000000000
7,73,736215066,1000000000
7,74,736215066,1000000000
7,75,736215066,1000000000
7,76,736215066,1000000000
7,77,736215066,1000000000
7,78,736215066,1000000000
7,79,736215066,1000000000
7,80,736215066,1000000000
7,81,736215066,1000000000
